code_gov,population,gov;;;;;;;
0,662694,Gouvernorat de L'Ariana;;;;;;;
1,710502,Gouvernorat de Ben Arous;;;;;;Ariana;662 694
2,595240,Gouvernorat de Bizerte;;;;;;Ben Arous;710 502
3,307507,Gouvernorat de BÃ¨ja;;;;;;…;
4,402691,Gouvernorat de GabÃ¨s;;;;;;Sfax;1 018 373
5,352809,Gouvernorat de Gafsa;;;;;;Siliana;227 992
6,404100,Gouvernorat de Jendouba;;;;;;…;
7,596221,Gouvernorat de Kairouan;;;;;;Tunis;1 073 249
8,460820,Gouvernorat de Kasserine;;;;;;Zaghouan;189 176
9,169378,Gouvernorat de KÃ©bili;;;;;;;
10,246820,Gouvernorat du Kef;;;;;;;
11,443075,Gouvernorat de Mahdia;;;;;;;
12,420445,Gouvernorat de Manouba;;;;;;;
13,602659,Gouvernorat de Monastir;;;;;;;
14,516385,Gouvernorat de Medenine;;;;;;;
15,861260,Gouvernorat de Nabeul;;;;;;;
16,1018373,Gouvernorat de Sfax;;;;;;;
17,455062,Gouvernorat de Sidi Bouzid;;;;;;;
18,227992,Gouvernorat de Siliana;;;;;;;
19,743278,Gouvernorat de Sousse;;;;;;;
20,151323,Gouvernorat de Tataouine;;;;;;;
21,115119,Gouvernorat de Tozeur;;;;;;;
22,1073249,Gouvernorat de Tunis;;;;;;;
23,189176,Gouvernorat de Zaghouan;;;;;;;
